GENEID	TOPOID	FOUND	STUDIED
ENSG00000151514	5	1	22
ENSG00000151514	9	1	14
ENSG00000151514	31	1	1
ENSG00000141425	31	1	1
ENSG00000141425	78	1	48
ENSG00000184470	31	2	2
ENSG00000237216	5	1	446
ENSG00000237216	31	3	3
ENSG00000166377	31	3	3
ENSG00000099998	31	2	2
ENSG00000226614	9	1	12
ENSG00000139618	2	1	70
ENSG00000139618	5	3	511
ENSG00000139618	9	4	35
ENSG00000139618	31	19	415
ENSG00000139618	60	5	74
ENSG00000139618	65	3	372
ENSG00000139618	75	1	126
ENSG00000139618	78	8	473
ENSG00000139618	100	8	65
ENSG00000139618	123	1	62
ENSG00000139618	132	1	13
ENSG00000139618	135	3	79
ENSG00000154646	31	5	5
ENSG00000154646	78	1	48
ENSG00000236802	31	1	1
ENSG00000236802	78	1	32
ENSG00000139597	31	1	1
ENSG00000234704	5	3	53
ENSG00000234704	127	2	60
ENSG00000141424	31	1	1
ENSG00000141424	135	1	23
ENSG00000093010	31	1	1
ENSG00000236873	5	1	22
ENSG00000223952	31	1	1
ENSG00000223952	123	1	6
ENSG00000223952	135	1	24
ENSG00000101265	14	1	9
ENSG00000101265	31	3	3
ENSG00000101265	65	2	200
ENSG00000131196	9	1	6
ENSG00000131196	31	1	1
ENSG00000228712	5	1	22
ENSG00000228712	78	1	48
ENSG00000228515	31	5	5
ENSG00000089057	31	2	2
ENSG00000136153	9	1	14
ENSG00000136153	14	1	9
ENSG00000154654	31	4	4
ENSG00000237112	2	1	1
ENSG00000237112	31	5	5
ENSG00000237258	31	1	1
ENSG00000083642	31	2	2
ENSG00000083642	65	1	1
ENSG00000083642	135	1	23
ENSG00000226788	31	1	1
ENSG00000226788	123	1	6
ENSG00000099889	2	1	1
ENSG00000206481	31	1	1
ENSG00000206481	75	1	101
ENSG00000206481	78	2	41
ENSG00000100014	31	1	1
ENSG00000231268	78	1	20
ENSG00000178695	31	1	1
ENSG00000241973	65	3	210
ENSG00000102805	31	1	1
ENSG00000133116	9	1	14
ENSG00000133116	31	1	1
ENSG00000133121	31	2	2
ENSG00000133121	135	1	23
ENSG00000005810	31	4	4
ENSG00000005810	65	2	11
ENSG00000005810	78	4	23
ENSG00000005810	135	1	23
ENSG00000234623	31	1	1
ENSG00000134759	78	2	57
ENSG00000134759	123	1	6
ENSG00000122490	9	1	6
ENSG00000122490	31	1	1
ENSG00000225590	31	4	4
ENSG00000236895	31	2	2
ENSG00000225987	31	1	1
ENSG00000237825	123	4	14
ENSG00000237825	135	1	25
ENSG00000241837	31	1	1
ENSG00000132646	65	1	12
ENSG00000235439	31	2	2
ENSG00000172915	9	1	4
ENSG00000172915	14	1	7
ENSG00000172915	31	9	9
ENSG00000228849	31	1	1
ENSG00000228849	123	1	6
ENSG00000228849	135	1	24
ENSG00000136155	31	4	4
ENSG00000136155	78	1	12
ENSG00000178591	5	1	22
ENSG00000178591	31	1	1
ENSG00000243927	123	1	1
ENSG00000206439	31	1	1
ENSG00000206439	123	1	6
ENSG00000206439	135	1	24
ENSG00000185982	78	1	32
ENSG00000198743	31	2	2
ENSG00000125903	31	1	1
ENSG00000228736	123	4	14
ENSG00000228736	135	1	25
ENSG00000099899	78	1	48
ENSG00000139737	31	1	2
ENSG00000101292	5	1	22
ENSG00000101292	31	3	3
ENSG00000101292	135	1	23
ENSG00000101546	31	1	1
ENSG00000238196	5	2	447
ENSG00000238196	31	5	5
ENSG00000238196	32	1	3
ENSG00000238196	65	5	199
ENSG00000238196	78	1	41
ENSG00000134775	9	2	12
ENSG00000134775	31	1	1
ENSG00000134775	78	2	32
ENSG00000226127	5	1	22
ENSG00000180660	31	2	2
ENSG00000170579	31	2	2
ENSG00000170579	123	1	6
ENSG00000170579	135	1	24
ENSG00000227715	31	1	1
ENSG00000133083	31	2	29
ENSG00000133083	127	4	60
ENSG00000228377	31	5	5
ENSG00000237051	2	1	1
ENSG00000237051	31	5	5
ENSG00000152192	31	1	1
ENSG00000223852	31	3	3
ENSG00000152193	9	1	12
ENSG00000152193	14	1	7
ENSG00000236490	31	1	1
ENSG00000099901	78	1	57
